Merged Data for Selected Target Ranges

Target Range: 108.57 nm
Trial 89 - Forward: Error: 33.07 nm, Time: 0.31 sec
Trial 89 - Backward: Error: -56.36 nm, Time: 0.32 sec
Trial 90 - Forward: Error: 33.09 nm, Time: 0.41 sec
Trial 90 - Backward: Error: -99.99 nm, Time: 0.55 sec
Trial 91 - Forward: Error: 88.30 nm, Time: 0.21 sec
Trial 91 - Backward: Error: -15.48 nm, Time: 0.32 sec
Trial 92 - Forward: Error: 2.15 nm, Time: 0.32 sec
Trial 92 - Backward: Error: -14.91 nm, Time: 0.30 sec
Trial 93 - Forward: Error: -4.96 nm, Time: 0.27 sec
Trial 93 - Backward: Error: -32.35 nm, Time: 0.32 sec
Trial 94 - Forward: Error: 45.28 nm, Time: 0.31 sec
Trial 94 - Backward: Error: -75.84 nm, Time: 0.29 sec
Trial 95 - Forward: Error: 18.10 nm, Time: 0.41 sec
Trial 95 - Backward: Error: 37.66 nm, Time: 0.26 sec
Trial 96 - Forward: Error: -69.21 nm, Time: 0.31 sec
Trial 96 - Backward: Error: 7.69 nm, Time: 0.30 sec
Trial 97 - Forward: Error: -18.69 nm, Time: 0.30 sec
Trial 97 - Backward: Error: 14.62 nm, Time: 0.31 sec
Trial 98 - Forward: Error: 4.00 nm, Time: 0.31 sec
Trial 98 - Backward: Error: 0.93 nm, Time: 0.32 sec
Trial 99 - Forward: Error: 65.59 nm, Time: 0.29 sec
Trial 99 - Backward: Error: 2.82 nm, Time: 0.30 sec
Trial 100 - Forward: Error: -72.48 nm, Time: 0.31 sec
Trial 100 - Backward: Error: 71.21 nm, Time: 0.40 sec
Trial 101 - Forward: Error: 15.40 nm, Time: 0.22 sec
Trial 101 - Backward: Error: 8.64 nm, Time: 0.32 sec
Trial 102 - Forward: Error: 17.10 nm, Time: 0.33 sec
Trial 102 - Backward: Error: 18.92 nm, Time: 0.28 sec
Trial 103 - Forward: Error: 7.25 nm, Time: 0.31 sec
Trial 103 - Backward: Error: -41.45 nm, Time: 0.30 sec
Trial 104 - Forward: Error: 20.85 nm, Time: 0.29 sec
Trial 104 - Backward: Error: -11.56 nm, Time: 0.34 sec
Trial 105 - Forward: Error: -30.00 nm, Time: 0.26 sec
Trial 105 - Backward: Error: 5.83 nm, Time: 0.32 sec
Trial 106 - Forward: Error: 10.66 nm, Time: 0.35 sec
Trial 106 - Backward: Error: -22.66 nm, Time: 0.27 sec
Trial 107 - Forward: Error: 35.78 nm, Time: 0.32 sec
Trial 107 - Backward: Error: 23.14 nm, Time: 0.30 sec
Trial 108 - Forward: Error: 2.08 nm, Time: 0.28 sec
Trial 108 - Backward: Error: -10.64 nm, Time: 0.30 sec
Trial 109 - Forward: Error: 91.06 nm, Time: 0.32 sec
Trial 109 - Backward: Error: -39.55 nm, Time: 0.30 sec
Trial 110 - Forward: Error: -30.64 nm, Time: 0.29 sec
Trial 110 - Backward: Error: -8.67 nm, Time: 0.31 sec
Trial 111 - Forward: Error: -4.17 nm, Time: 0.31 sec
Trial 111 - Backward: Error: -12.38 nm, Time: 0.39 sec
Trial 112 - Forward: Error: -79.02 nm, Time: 0.23 sec
